PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
0.24378112339685348,-0.7723774495278288,0.5547045546514805,0.04933610151006375,0.13178339123145372,-0.12799579104786052,-0.11530881687357573,-0.14740991219614924,-0.23014421425207846,0.042522166503702594,-0.027892011109340795,0.1950435986846787,-0.16969159059683708,0.31694715869253554
0.029243897554150217,-0.45647599551279816,-0.3173371435508384,-0.22109168335266888,-0.18613221212562064,0.012140334046337575,0.4177661448234584,-0.21360428235449289,0.09335667469097392,-0.020886649987489042,0.040346482620947546,-0.055840200850184096,-0.1038918958386245,-0.11677206588444347
0.8728488462903158,-0.7084475482345132,0.15692566354374335,0.045797973023830804,-0.03206760174530465,0.0429809122408072,-0.10241956508824923,0.04966558647237803,-0.04829541072070234,-0.0765129215479233,0.0002475013126964076,0.028778513214125955,-0.20561318299572678,0.08422001219825011
-0.05091171947253838,-0.3438894219457087,-0.25144558472672085,-0.5089384722210123,0.12477911147453413,0.3046825733666904,-0.002886941425902269,0.04207264573134552,-0.20186249605434858,-0.07263094982334055,-0.18116967613125662,0.15992292065977487,0.3571636173957403,-0.08369840473346707
0.1670087151810129,-0.606182199377242,-0.44847402232636513,-0.29265014809120493,0.1807295627718976,0.013262998228913886,0.203894149389302,-0.3291236934499736,0.14241877424139096,-0.06489643565468206,-0.04228964634272211,0.0047820967965121405,-0.18240491104774487,0.024249631164798866
0.4605547314219134,-0.27444297900635584,0.14715296477072878,0.3123158228512151,-0.2664258825297384,-0.009651422874261018,0.09488946450325352,0.18836591257440577,-0.04806153138117271,-0.07937664447276255,0.0513044199912709,-0.00586333634934063,-0.050751053619550665,-0.020309214873660324
0.3455169162353211,-0.6459922902219815,0.2246154556918988,-0.22478184976674903,0.19334004479579348,0.19556083419701636,0.003236225325035272,0.22790370153247647,0.10098734850993352,0.25045642696640225,-0.031263678139389975,-0.3116545811980561,0.133533729918671,-0.07399488088250775
0.5439011691877104,-0.7430049019240021,0.10981609127312772,0.23036524401953495,-0.002500990745001125,0.08005677427660536,-0.12635622890841028,-0.08063535948038261,-0.1250743467434937,-0.03904819553422058,-0.11813012486634651,0.15104721595918033,0.3847348386838072,0.11742944277261798
0.15209859925746094,-0.3574923281630602,0.028456450472810008,0.10392705632680381,0.2068558053963377,-0.007284408426995265,-0.07185329357268319,0.0644758564968482,-0.15325071123268474,-0.09472172188071262,0.0062845450335735215,0.16554917168710814,-0.18217747716064617,0.25247102961769896
0.019311578170318533,-0.5435811287916521,0.45568947100113977,0.03171263973225896,0.175476375354579,0.1775526879582835,0.06519175463275015,0.3849555127818537,-0.008303353656942361,-0.11802434938930564,0.11170352955721656,-0.14922374844874914,0.01565933857011395,-0.09317613790348646
